id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
6694708;с. Анзорей, пер. Речной, д. 9;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6694710;с. Анзорей, пер. Речной, д. 11;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6694711;с. Анзорей, пер. Речной, д. 13;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9225266;с. Анзорей, пер. Речной, д. 26;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6719241;с. Анзорей, ул. Степная, д. 75;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.349703;Не заполнено;Не заполнено;43.941137;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6719244;с. Анзорей, ул. Степная, д. 77;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.349703;Не заполнено;Не заполнено;43.941137;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6719246;с. Анзорей, ул. Степная, д. 79;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.349703;Не заполнено;Не заполнено;43.941137;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6719248;с. Анзорей, ул. Степная, д. 81;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.349703;Не заполнено;Не заполнено;43.941137;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6727560;с. Анзорей, ул. Хамгокова, д. 34;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355905;Не заполнено;Не заполнено;43.941541;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6727565;с. Анзорей, ул. Хамгокова, д. 37;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355905;Не заполнено;Не заполнено;43.941541;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6727564;с. Анзорей, ул. Шинахова, д. 75;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.356292;Не заполнено;Не заполнено;43.941811;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6702309;с. Аргудан, ул. Арамисова, д. 42;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.416900;Не заполнено;843.3;43.910936;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;881.1;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1972;Нет
6702311;с. Аргудан, ул. Арамисова, д. 44;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.416900;Не заполнено;846.8;43.910936;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;884.6;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1972;Нет
6702314;с. Аргудан, ул. Им Суншева М.Х., д. 3;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.4169;Не заполнено;478.8;43.910936;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;499.8;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1963;Нет
6702316;с. Аргудан, ул. Ленина, д. 151;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.410411;Не заполнено;359.4;43.90772;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;365.5;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1958;Нет
6719706;с. Атажукино, ул. Апшева, д. 32 а;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.654793;Не заполнено;Не заполнено;43.405499;"ТСЖ ""Атажукино""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6719746;с. Атажукино, ул. Апшева, д. 32 б;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.654793;Не заполнено;Не заполнено;43.405499;"ТСЖ ""Атажукино""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
7114112;с. Атажукино, ул. Апшева, д. 71;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;5;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.654989;Не заполнено;2020.0;43.406343;"ТСЖ ""Атажукино""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;2020.0;Не заполнено;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1986;Нет
6688502;с. Атажукино, ул. Апшева, д. 73;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.652158;Не заполнено;814.3;43.39471;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;12;Не заполнено;Не заполнено;814.3;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1936;Да
6688511;с. Атажукино, ул. Апшева, д. 75;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.652158;Не заполнено;814.3;43.39471;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;12;Не заполнено;Не заполнено;814.3;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1936;Да
7114113;с. Атажукино, ул. Апшева, д. 81;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;2;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.654793;Не заполнено;802.0;43.405499;"ТСЖ ""Атажукино""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;802.0;Не заполнено;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1949;Нет
7102934;с. Бабугент, ул. Зеленая, д. 2;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;195.0;43.276157;Не заполнено;164.3;43.546507;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;164.3;Многоквартирный дом;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1934;Да
7102933;с. Бабугент, ул. Зеленая, д. 4;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;4;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;360.0;43.276157;Не заполнено;210.0;43.546507;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;210.0;Многоквартирный дом;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1934;Да
9278449;с. Бабугент, ул. Кашежевой И., д. 21;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.276721;Не заполнено;Не заполнено;43.548861;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
7102985;с. Бабугент, ул. Мечиева, д. 95;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;260.0;43.279511;Не заполнено;164.0;43.547711;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;164.0;Многоквартирный дом;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1958;Да
7102935;с. Бабугент, ул. Тогузаева, д. 13;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;260.0;43.276721;Не заполнено;181.3;43.548861;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;181.3;Многоквартирный дом;Не заполнено;Не заполнено;Иные;Не заполнено;Не заполнено;1957;Да
7734640;с. Бабугент, ул. Туменова К.К., д. 14;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;0.0;43.276721;Не заполнено;73.4;43.548861;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;73.4;Многоквартирный дом;Не заполнено;Не заполнено;Деревянные;Не заполнено;Не заполнено;1939;Да
7734634;с. Бабугент, ул. Туменова К.К., д. 16-18;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;0.0;43.276157;Не заполнено;144.9;43.546507;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;144.9;Многоквартирный дом;Не заполнено;Не заполнено;Деревянные;Не заполнено;Не заполнено;1958;Да
7734642;с. Бабугент, ул. Туменова К.К., д. 20-22;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;3;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;0.0;43.276721;Не заполнено;158.0;43.548861;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;158.0;Многоквартирный дом;Не заполнено;Не заполнено;Деревянные;Не заполнено;Не заполнено;1958;Да
7734637;с. Бабугент, ул. Туменова К.К., д. 23-25;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Не заполнено;1;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;0.0;43.276721;Не заполнено;151.6;43.548861;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;151.6;Многоквартирный дом;Не заполнено;Не заполнено;Деревянные;Не заполнено;Не заполнено;1958;Да
